date,pm2_5,pm10,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,T2M,RH2M,WS10M,PRECTOTCORR,target_pm2_5_next_day,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,pm2_5_roll3,month,day_of_year
2023-11-17,97.16666666666667,139.80833333333334,60.291666666666664,47.020833333333336,60.166666666666664,174.41666666666666,20.89,54.19,1.94,0.0,105.87083333333334,95.09166666666665,68.6375,64.33749999999999,86.96527777777776,11,321
2023-11-18,105.87083333333334,152.57916666666668,82.04166666666667,60.17916666666667,74.0,172.95833333333334,20.1,50.87,1.94,0.0,123.45833333333333,97.16666666666667,95.09166666666665,68.6375,99.37638888888887,11,322
2023-11-19,123.45833333333333,182.1291666666667,91.52499999999999,66.28750000000001,74.58333333333333,179.16666666666666,19.81,47.51,1.53,0.0,111.09583333333335,105.87083333333334,97.16666666666667,95.09166666666665,108.83194444444443,11,323
2023-11-20,111.09583333333335,163.4125,64.69166666666666,47.112500000000004,79.66666666666667,189.75,19.73,51.79,2.33,0.0,77.47083333333333,123.45833333333333,105.87083333333334,97.16666666666667,113.47499999999998,11,324
2023-11-21,77.47083333333333,114.10416666666667,23.241666666666664,21.77916666666667,91.33333333333333,165.91666666666666,18.79,58.46,3.62,0.0,81.05,111.09583333333335,123.45833333333333,105.87083333333334,104.00833333333331,11,325
2023-11-22,81.05,119.7625,30.400000000000002,26.566666666666666,77.41666666666667,161.54166666666666,17.72,57.83,3.25,0.0,119.85833333333333,77.47083333333333,111.09583333333335,123.45833333333333,89.8722222222222,11,326
2023-11-23,119.85833333333333,177.97916666666666,67.59583333333333,59.50833333333333,69.5,170.54166666666666,19.14,45.43,1.22,0.0,132.13750000000002,81.05,77.47083333333333,111.09583333333335,92.79305555555554,11,327
2023-11-24,132.13750000000002,197.2875,67.71249999999999,61.28333333333333,71.70833333333333,190.79166666666666,18.96,45.35,1.27,0.0,100.89583333333333,119.85833333333333,81.05,77.47083333333333,111.01527777777774,11,328
2023-11-25,100.89583333333333,147.4125,57.1625,49.1,70.70833333333333,179.5,19.05,46.12,1.63,0.0,130.74583333333334,132.13750000000002,119.85833333333333,81.05,117.63055555555553,11,329
2023-11-26,130.74583333333334,194.0041666666667,76.43333333333334,73.12916666666668,72.66666666666667,186.20833333333334,18.74,49.09,1.82,0.0,106.88333333333333,100.89583333333333,132.13750000000002,119.85833333333333,121.2597222222222,11,330
2023-11-27,106.88333333333333,157.39166666666668,57.12916666666666,53.40416666666667,46.208333333333336,184.20833333333334,17.36,53.86,2.76,0.14,89.96666666666665,130.74583333333334,100.89583333333333,132.13750000000002,112.84166666666664,11,331
2023-11-28,89.96666666666665,130.73749999999998,46.1625,41.170833333333334,52.75,172.16666666666666,18.6,54.48,1.75,2.24,103.37083333333334,106.88333333333333,130.74583333333334,100.89583333333333,109.19861111111108,11,332
