date,T2M,RH2M,WS10M,PRECTOTCORR
2023-08-02,30.3,81.74,2.62,0.82
2023-08-03,30.04,82.98,2.18,4.19
2023-08-04,29.47,86.9,1.85,44.34
2023-08-05,29.14,87.47,3.04,20.5
2023-08-06,29.54,82.55,3.97,9.81
2023-08-07,29.09,83.21,4.87,1.62
2023-08-08,29.18,83.34,4.78,0.13
2023-08-09,29.4,82.24,3.66,2.0
2023-08-10,29.41,80.94,2.74,2.07
2023-08-11,29.61,79.76,2.54,0.73
2023-08-12,29.26,77.8,3.92,0.0
2023-08-13,29.14,79.32,3.99,0.07
2023-08-14,27.32,84.72,2.93,0.09
2023-08-15,29.0,79.44,1.18,1.63
2023-08-16,29.69,78.71,2.73,1.68
2023-08-17,30.09,78.77,3.37,0.27
2023-08-18,30.16,79.09,2.47,0.87
2023-08-19,29.79,83.55,2.19,12.32
2023-08-20,30.75,76.48,2.22,0.32
2023-08-21,30.84,74.77,1.5,1.21
2023-08-22,29.98,83.99,2.21,14.31
2023-08-23,28.24,88.99,3.34,44.32
2023-08-24,28.21,82.74,3.21,0.83
2023-08-25,28.5,79.39,3.67,0.1
2023-08-26,28.9,76.79,3.76,0.0
2023-08-27,28.74,75.44,3.89,0.27
2023-08-28,29.43,75.67,3.17,0.13
2023-08-29,29.29,75.3,2.89,0.0
2023-08-30,29.1,76.36,2.72,0.01
2023-08-31,29.34,74.95,2.17,0.0
2023-09-01,29.48,70.49,2.92,0.0
2023-09-02,28.86,69.4,3.45,0.0
2023-09-03,28.73,67.26,2.84,0.0
2023-09-04,29.01,68.92,3.11,0.0
2023-09-05,29.8,73.61,2.18,1.03
2023-09-06,30.11,69.81,2.22,0.12
2023-09-07,30.38,66.06,2.14,0.4
2023-09-08,29.12,72.01,2.33,6.64
2023-09-09,27.89,83.45,3.65,17.32
2023-09-10,27.04,90.71,3.68,72.53
2023-09-11,27.48,85.42,2.96,0.91
2023-09-12,28.31,82.44,2.09,0.05
2023-09-13,29.06,82.63,1.35,0.01
2023-09-14,29.45,83.88,1.99,7.07
2023-09-15,28.93,84.72,2.45,1.69
2023-09-16,26.82,87.34,4.65,13.32
2023-09-17,26.98,89.83,4.75,6.67
2023-09-18,27.24,84.07,5.2,0.15
2023-09-19,28.35,81.18,2.84,0.18
2023-09-20,29.3,77.3,1.38,0.0
2023-09-21,29.58,76.85,1.41,0.16
2023-09-22,29.17,78.5,1.73,1.54
2023-09-23,28.81,80.88,1.81,8.31
2023-09-24,28.26,79.68,1.59,2.33
2023-09-25,28.61,74.11,1.37,0.0
2023-09-26,27.77,73.99,1.91,0.0
2023-09-27,26.75,73.12,2.55,0.0
2023-09-28,25.73,73.62,2.48,0.0
2023-09-29,25.83,63.19,1.84,0.0
2023-09-30,26.26,61.83,2.83,0.0
2023-10-01,25.55,62.69,3.13,0.0
2023-10-02,25.44,58.1,3.52,0.0
2023-10-03,24.21,54.42,3.5,0.0
2023-10-04,24.48,59.09,3.25,0.0
2023-10-05,25.43,62.27,2.63,0.0
2023-10-06,25.17,59.55,2.88,0.0
2023-10-07,26.32,59.96,2.24,0.0
2023-10-08,27.71,58.28,2.24,0.0
2023-10-09,28.38,61.7,2.28,0.0
2023-10-10,27.98,62.97,1.68,0.0
2023-10-11,25.97,57.89,3.14,0.0
2023-10-12,25.37,54.62,2.33,0.0
2023-10-13,26.34,50.78,2.16,0.0
2023-10-14,27.22,49.83,1.99,0.0
2023-10-15,26.61,54.6,1.59,0.0
2023-10-16,23.96,69.61,3.32,4.31
2023-10-17,23.67,62.92,2.87,4.82
2023-10-18,22.55,62.52,3.3,0.0
2023-10-19,22.6,59.88,3.1,0.0
2023-10-20,22.74,59.19,2.49,0.0
2023-10-21,22.61,54.65,2.33,0.0
2023-10-22,23.49,49.86,2.01,0.0
2023-10-23,23.12,58.36,2.57,0.0
2023-10-24,23.67,57.87,2.52,0.0
2023-10-25,23.59,56.08,2.93,0.0
2023-10-26,23.14,56.8,2.79,0.0
2023-10-27,23.26,46.05,2.44,0.0
2023-10-28,24.05,46.53,1.86,0.0
2023-10-29,24.41,46.55,1.95,0.0
2023-10-30,24.15,51.63,2.18,0.0
2023-10-31,24.23,52.61,1.9,0.0
2023-11-01,25.21,45.91,1.48,0.0
2023-11-02,23.52,48.95,1.99,0.0
2023-11-03,23.21,52.72,1.95,0.0
2023-11-04,23.43,54.4,2.35,0.0
2023-11-05,22.91,44.19,1.41,0.0
